      S          J EXP       ERROR       J REG       I REG

  0.6720E-01  0.1115E+03  0.8030E+00  0.1096E+03  0.1096E+03
  0.6781E-01  0.1091E+03  0.7346E+00  0.1076E+03  0.1076E+03
  0.6841E-01  0.1074E+03  0.7489E+00  0.1056E+03  0.1056E+03
  0.6902E-01  0.1045E+03  0.7579E+00  0.1037E+03  0.1037E+03
  0.6963E-01  0.1032E+03  0.7286E+00  0.1017E+03  0.1017E+03
  0.7024E-01  0.1014E+03  0.7761E+00  0.9983E+02  0.9983E+02
  0.7085E-01  0.9892E+02  0.7340E+00  0.9797E+02  0.9797E+02
  0.7146E-01  0.9753E+02  0.6538E+00  0.9614E+02  0.9614E+02
  0.7206E-01  0.9527E+02  0.6904E+00  0.9435E+02  0.9435E+02
  0.7267E-01  0.9350E+02  0.6424E+00  0.9258E+02  0.9258E+02
  0.7328E-01  0.9161E+02  0.6554E+00  0.9085E+02  0.9085E+02
  0.7389E-01  0.8963E+02  0.6352E+00  0.8915E+02  0.8915E+02
  0.7450E-01  0.8781E+02  0.6236E+00  0.8748E+02  0.8748E+02
  0.7510E-01  0.8632E+02  0.5955E+00  0.8584E+02  0.8584E+02
  0.7571E-01  0.8465E+02  0.6054E+00  0.8423E+02  0.8423E+02
  0.7632E-01  0.8358E+02  0.6088E+00  0.8265E+02  0.8265E+02
  0.7693E-01  0.8160E+02  0.6225E+00  0.8109E+02  0.8109E+02
  0.7754E-01  0.8036E+02  0.6229E+00  0.7957E+02  0.7957E+02
  0.7814E-01  0.7855E+02  0.5578E+00  0.7807E+02  0.7807E+02
  0.7875E-01  0.7711E+02  0.5969E+00  0.7661E+02  0.7661E+02
  0.7936E-01  0.7552E+02  0.5472E+00  0.7516E+02  0.7516E+02
  0.7997E-01  0.7413E+02  0.5165E+00  0.7375E+02  0.7375E+02
  0.8058E-01  0.7296E+02  0.5172E+00  0.7236E+02  0.7236E+02
  0.8119E-01  0.7137E+02  0.5262E+00  0.7100E+02  0.7100E+02
  0.8179E-01  0.7034E+02  0.4881E+00  0.6966E+02  0.6966E+02
  0.8240E-01  0.6912E+02  0.5117E+00  0.6835E+02  0.6835E+02
  0.8301E-01  0.6743E+02  0.4903E+00  0.6706E+02  0.6706E+02
  0.8362E-01  0.6607E+02  0.4596E+00  0.6579E+02  0.6579E+02
  0.8423E-01  0.6476E+02  0.4628E+00  0.6455E+02  0.6455E+02
  0.8483E-01  0.6311E+02  0.4847E+00  0.6333E+02  0.6333E+02
  0.8544E-01  0.6214E+02  0.4303E+00  0.6213E+02  0.6213E+02
  0.8605E-01  0.6103E+02  0.4299E+00  0.6096E+02  0.6096E+02
  0.8666E-01  0.5990E+02  0.4590E+00  0.5981E+02  0.5981E+02
  0.8727E-01  0.5888E+02  0.4385E+00  0.5868E+02  0.5868E+02
  0.8787E-01  0.5814E+02  0.4281E+00  0.5757E+02  0.5757E+02
  0.8848E-01  0.5640E+02  0.4191E+00  0.5648E+02  0.5648E+02
  0.8909E-01  0.5596E+02  0.4119E+00  0.5541E+02  0.5541E+02
  0.8970E-01  0.5461E+02  0.3962E+00  0.5436E+02  0.5436E+02
  0.9031E-01  0.5371E+02  0.4178E+00  0.5333E+02  0.5333E+02
  0.9091E-01  0.5239E+02  0.3775E+00  0.5232E+02  0.5232E+02
  0.9152E-01  0.5140E+02  0.3787E+00  0.5132E+02  0.5132E+02
  0.9213E-01  0.5020E+02  0.3515E+00  0.5035E+02  0.5035E+02
  0.9274E-01  0.4987E+02  0.3601E+00  0.4939E+02  0.4939E+02
  0.9335E-01  0.4874E+02  0.3409E+00  0.4845E+02  0.4845E+02
  0.9396E-01  0.4800E+02  0.3835E+00  0.4753E+02  0.4753E+02
  0.9456E-01  0.4735E+02  0.3414E+00  0.4663E+02  0.4663E+02
  0.9517E-01  0.4639E+02  0.3387E+00  0.4574E+02  0.4574E+02
  0.9578E-01  0.4512E+02  0.3517E+00  0.4487E+02  0.4487E+02
  0.9639E-01  0.4401E+02  0.3475E+00  0.4402E+02  0.4402E+02
  0.9700E-01  0.4342E+02  0.3313E+00  0.4318E+02  0.4318E+02
  0.9760E-01  0.4235E+02  0.3360E+00  0.4236E+02  0.4236E+02
  0.9821E-01  0.4184E+02  0.3211E+00  0.4155E+02  0.4155E+02
  0.9882E-01  0.4060E+02  0.3034E+00  0.4076E+02  0.4076E+02
  0.9943E-01  0.3982E+02  0.2960E+00  0.3998E+02  0.3998E+02
  0.1000E+00  0.3877E+02  0.2942E+00  0.3922E+02  0.3922E+02
  0.1006E+00  0.3810E+02  0.3006E+00  0.3847E+02  0.3847E+02
  0.1013E+00  0.3744E+02  0.2969E+00  0.3774E+02  0.3774E+02
  0.1019E+00  0.3705E+02  0.2773E+00  0.3702E+02  0.3702E+02
  0.1025E+00  0.3632E+02  0.2780E+00  0.3631E+02  0.3631E+02
  0.1031E+00  0.3542E+02  0.2750E+00  0.3562E+02  0.3562E+02
  0.1037E+00  0.3467E+02  0.2741E+00  0.3494E+02  0.3494E+02
  0.1043E+00  0.3408E+02  0.2892E+00  0.3427E+02  0.3427E+02
  0.1049E+00  0.3320E+02  0.2796E+00  0.3362E+02  0.3362E+02
  0.1055E+00  0.3272E+02  0.2654E+00  0.3298E+02  0.3298E+02
  0.1061E+00  0.3224E+02  0.2708E+00  0.3235E+02  0.3235E+02
  0.1067E+00  0.3169E+02  0.2406E+00  0.3174E+02  0.3174E+02
  0.1073E+00  0.3128E+02  0.2527E+00  0.3114E+02  0.3114E+02
  0.1079E+00  0.3067E+02  0.2596E+00  0.3055E+02  0.3055E+02
  0.1086E+00  0.2999E+02  0.2334E+00  0.2997E+02  0.2997E+02
  0.1092E+00  0.2944E+02  0.2317E+00  0.2940E+02  0.2940E+02
  0.1098E+00  0.2892E+02  0.2617E+00  0.2884E+02  0.2884E+02
  0.1104E+00  0.2820E+02  0.2696E+00  0.2830E+02  0.2830E+02
  0.1110E+00  0.2778E+02  0.2399E+00  0.2777E+02  0.2777E+02
  0.1116E+00  0.2710E+02  0.2295E+00  0.2725E+02  0.2725E+02
  0.1122E+00  0.2650E+02  0.2335E+00  0.2674E+02  0.2674E+02
  0.1128E+00  0.2581E+02  0.2160E+00  0.2624E+02  0.2624E+02
  0.1134E+00  0.2565E+02  0.2148E+00  0.2575E+02  0.2575E+02
  0.1140E+00  0.2506E+02  0.2199E+00  0.2527E+02  0.2527E+02
  0.1146E+00  0.2476E+02  0.2173E+00  0.2480E+02  0.2480E+02
  0.1152E+00  0.2425E+02  0.2269E+00  0.2434E+02  0.2434E+02
  0.1158E+00  0.2371E+02  0.2022E+00  0.2389E+02  0.2389E+02
  0.1165E+00  0.2308E+02  0.2072E+00  0.2345E+02  0.2345E+02
  0.1171E+00  0.2265E+02  0.2012E+00  0.2302E+02  0.2302E+02
  0.1177E+00  0.2241E+02  0.2066E+00  0.2260E+02  0.2260E+02
  0.1183E+00  0.2207E+02  0.1882E+00  0.2219E+02  0.2219E+02
  0.1189E+00  0.2161E+02  0.2095E+00  0.2179E+02  0.2179E+02
  0.1195E+00  0.2132E+02  0.1915E+00  0.2140E+02  0.2140E+02
  0.1201E+00  0.2097E+02  0.1848E+00  0.2102E+02  0.2102E+02
  0.1207E+00  0.2053E+02  0.1870E+00  0.2064E+02  0.2064E+02
  0.1213E+00  0.2010E+02  0.1964E+00  0.2027E+02  0.2027E+02
  0.1219E+00  0.1982E+02  0.1950E+00  0.1992E+02  0.1992E+02
  0.1225E+00  0.1964E+02  0.2066E+00  0.1957E+02  0.1957E+02
  0.1231E+00  0.1927E+02  0.2125E+00  0.1923E+02  0.1923E+02
  0.1238E+00  0.1898E+02  0.2291E+00  0.1889E+02  0.1889E+02
  0.1244E+00  0.1859E+02  0.2575E+00  0.1857E+02  0.1857E+02
  0.1250E+00  0.1829E+02  0.1969E+00  0.1825E+02  0.1825E+02
  0.1256E+00  0.1793E+02  0.1655E+00  0.1794E+02  0.1794E+02
  0.1262E+00  0.1760E+02  0.1865E+00  0.1763E+02  0.1763E+02
  0.1268E+00  0.1744E+02  0.2345E+00  0.1734E+02  0.1734E+02
  0.1274E+00  0.1718E+02  0.1849E+00  0.1705E+02  0.1705E+02
  0.1280E+00  0.1699E+02  0.1767E+00  0.1677E+02  0.1677E+02
  0.1286E+00  0.1653E+02  0.1708E+00  0.1649E+02  0.1649E+02
  0.1292E+00  0.1633E+02  0.1873E+00  0.1622E+02  0.1622E+02
  0.1298E+00  0.1622E+02  0.1797E+00  0.1596E+02  0.1596E+02
  0.1304E+00  0.1571E+02  0.1729E+00  0.1570E+02  0.1570E+02
  0.1310E+00  0.1545E+02  0.1747E+00  0.1545E+02  0.1545E+02
  0.1317E+00  0.1520E+02  0.1641E+00  0.1521E+02  0.1521E+02
  0.1323E+00  0.1485E+02  0.1646E+00  0.1497E+02  0.1497E+02
  0.1329E+00  0.1491E+02  0.1646E+00  0.1474E+02  0.1474E+02
  0.1335E+00  0.1441E+02  0.1646E+00  0.1451E+02  0.1451E+02
  0.1341E+00  0.1430E+02  0.1618E+00  0.1429E+02  0.1429E+02
  0.1347E+00  0.1421E+02  0.1689E+00  0.1407E+02  0.1407E+02
  0.1353E+00  0.1388E+02  0.1689E+00  0.1386E+02  0.1386E+02
  0.1359E+00  0.1372E+02  0.1586E+00  0.1365E+02  0.1365E+02
  0.1365E+00  0.1343E+02  0.1505E+00  0.1345E+02  0.1345E+02
  0.1371E+00  0.1314E+02  0.1563E+00  0.1325E+02  0.1325E+02
  0.1377E+00  0.1293E+02  0.1500E+00  0.1306E+02  0.1306E+02
  0.1383E+00  0.1286E+02  0.1512E+00  0.1287E+02  0.1287E+02
  0.1390E+00  0.1243E+02  0.3961E+00  0.1268E+02  0.1268E+02
  0.1396E+00  0.1231E+02  0.9175E+00  0.1250E+02  0.1250E+02
  0.1402E+00  0.1186E+02  0.5929E+00  0.1233E+02  0.1233E+02
  0.1408E+00  0.1175E+02  0.4263E+00  0.1216E+02  0.1216E+02
  0.1414E+00  0.1167E+02  0.3955E+00  0.1199E+02  0.1199E+02
  0.1420E+00  0.1185E+02  0.2036E+00  0.1182E+02  0.1182E+02
  0.1426E+00  0.1168E+02  0.1640E+00  0.1166E+02  0.1166E+02
  0.1432E+00  0.1149E+02  0.1524E+00  0.1150E+02  0.1150E+02
  0.1438E+00  0.1111E+02  0.1519E+00  0.1135E+02  0.1135E+02
  0.1444E+00  0.1112E+02  0.1573E+00  0.1120E+02  0.1120E+02
  0.1450E+00  0.1118E+02  0.1499E+00  0.1105E+02  0.1105E+02
  0.1456E+00  0.1100E+02  0.1424E+00  0.1090E+02  0.1090E+02
  0.1463E+00  0.1074E+02  0.1459E+00  0.1076E+02  0.1076E+02
  0.1469E+00  0.1051E+02  0.1439E+00  0.1062E+02  0.1062E+02
  0.1475E+00  0.1038E+02  0.1473E+00  0.1049E+02  0.1049E+02
  0.1481E+00  0.1026E+02  0.1441E+00  0.1035E+02  0.1035E+02
  0.1487E+00  0.1007E+02  0.1482E+00  0.1022E+02  0.1022E+02
  0.1493E+00  0.9920E+01  0.1588E+00  0.1009E+02  0.1009E+02
  0.1499E+00  0.9836E+01  0.1521E+00  0.9967E+01  0.9967E+01
  0.1505E+00  0.9791E+01  0.1677E+00  0.9843E+01  0.9843E+01
  0.1511E+00  0.9803E+01  0.5373E+00  0.9722E+01  0.9722E+01
  0.1517E+00  0.9539E+01  0.1157E+01  0.9603E+01  0.9603E+01
  0.1523E+00  0.9556E+01  0.4899E+00  0.9486E+01  0.9486E+01
  0.1529E+00  0.9410E+01  0.1696E+00  0.9371E+01  0.9371E+01
  0.1535E+00  0.9332E+01  0.1443E+00  0.9259E+01  0.9259E+01
