# SAXS profile: number of points = 498, q_min = 0.025234, q_max = 0.32741, delta_q = 0.000608
# offset = 0.00000000000000, scaling c = 5.78375254032406e-06, Chi = 1.76369476318359
#  q       exp_intensity   model_intensity
0.10123    51.04140000     50.69061852    
0.10184    50.10440000     49.79730338    
0.10245    48.93260000     48.91807464    
0.10306    48.94910000     48.04562705    
0.10367    47.62310000     47.19058274    
0.10427    46.62270000     46.34431317    
0.10488    45.48700000     45.50873983    
0.10549    44.77870000     44.68856090    
0.10610    43.50200000     43.87526766    
0.10671    42.97550000     43.07851532    
0.10731    41.87200000     42.29185188    
0.10792    41.65820000     41.51220575    
0.10853    41.01780000     40.75219903    
0.10914    39.95680000     39.99920488    
0.10975    39.48490000     39.26148943    
0.11035    38.99780000     38.53533655    
0.11096    37.86580000     37.81747998    
0.11157    37.19110000     37.11812384    
0.11218    36.77700000     36.42579807    
0.11279    36.18940000     35.74747632    
0.11339    35.37880000     35.08199885    
0.11400    34.60830000     34.42356213    
0.11461    34.07390000     33.78463887    
0.11522    33.07790000     33.15270267    
0.11583    32.32840000     32.53326624    
0.11643    31.75670000     31.92768628    
0.11704    31.32150000     31.32896730    
0.11765    30.72770000     30.74602114    
0.11826    30.39980000     30.17295662    
0.11887    29.65370000     29.61078088    
0.11947    28.94720000     29.06301929    
0.12008    28.78670000     28.52181057    
0.12069    28.21390000     27.99649720    
0.12130    27.59400000     27.47988618    
0.12191    27.25940000     26.97232793    
0.12251    26.92470000     26.47955977    
0.12312    26.21420000     25.99290610    
0.12373    25.68060000     25.51983535    
0.12434    24.96110000     25.05598875    
0.12495    24.70560000     24.59951057    
0.12555    24.46120000     24.15786175    
0.12616    23.99400000     23.72038542    
0.12677    23.44840000     23.29576345    
0.12738    23.06550000     22.88055274    
0.12799    22.48880000     22.47106845    
0.12859    22.30950000     22.07596386    
0.12920    21.77600000     21.68588550    
0.12981    21.51280000     21.30522818    
0.13042    21.13530000     20.93388031    
0.13103    20.91860000     20.56732348    
0.13163    20.52380000     20.21329030    
0.13224    20.05950000     19.86426856    
0.13285    19.58780000     19.52282612    
0.13346    19.35670000     19.19042556    
0.13407    19.08080000     18.86109852    
0.13467    18.64580000     18.54316814    
0.13528    18.44310000     18.23032332    
0.13589    18.15410000     17.92335754    
0.13650    17.87450000     17.62496184    
0.13711    17.62250000     17.33019305    
0.13771    17.33290000     17.04363588    
0.13832    16.92350000     16.76212934    
0.13893    16.60040000     16.48510874    
0.13954    16.20840000     16.21606515    
0.14015    16.08130000     15.95011699    
0.14075    15.82240000     15.69067964    
0.14136    15.67280000     15.43607090    
0.14197    15.33640000     15.18382393    
0.14258    15.10000000     14.93983798    
0.14319    14.58130000     14.69844802    
0.14379    14.33600000     14.46208510    
0.14440    14.07460000     14.23034378    
0.14501    13.81290000     14.00107887    
0.14562    13.65910000     13.77827945    
0.14623    13.64820000     13.55778001    
0.14683    13.49940000     13.34116818    
0.14744    13.34830000     13.12882529    
0.14805    13.00740000     12.91854018    
0.14866    12.80090000     12.71332752    
0.14927    12.55410000     12.50968355    
0.14987    12.38890000     12.30981013    
0.15048    12.06490000     12.11391502    
0.15109    11.81290000     11.91977900    
0.15170    11.80580000     11.72978195    
0.15231    11.58870000     11.54203990    
0.15291    11.29400000     11.35652339    
0.15352    11.03890000     11.17472588    
0.15413    10.84950000     10.99443387    
0.15474    10.82000000     10.81742459    
0.15535    10.57860000     10.64266700    
0.15595    10.46560000     10.46897343    
0.15656    10.06900000     10.29954721    
0.15717    10.02860000     10.13142271    
0.15778    9.72358000      9.96588946     
0.15839    9.75784000      9.80266449     
0.15899    9.50770000      9.64076709     
0.15960    9.35411000      9.48229133     
0.16021    9.19618000      9.32504520     
0.16082    8.95745000      9.17006488     
0.16143    8.77323000      9.01737463     
0.16203    8.70483000      8.86584342     
0.16264    8.61486000      8.71682656     
0.16325    8.45186000      8.56969978     
0.16386    8.16690000      8.42449945     
0.16447    7.91126000      8.28170548     
0.16507    7.88658000      8.14003533     
0.16568    7.61286000      8.00118341     
0.16629    7.44676000      7.86379833     
0.16690    7.46370000      7.72802171     
0.16751    7.31294000      7.59484123     
0.16811    7.23474000      7.46278979     
0.16872    7.15358000      7.33336304     
0.16933    6.96492000      7.20518634     
0.16994    6.91810000      7.07887741     
0.17055    6.80516000      6.95541131     
0.17115    6.64731000      6.83308104     
0.17176    6.32706000      6.71314759     
0.17237    6.23013000      6.59518099     
0.17298    5.88714000      6.47847954     
0.17359    5.92332000      6.36494395     
0.17419    5.90693000      6.25257567     
0.17480    5.80449000      6.14244484     
0.17541    5.60478000      6.03413385     
0.17602    5.51452000      5.92735837     
