# SAXS profile: number of points = 864, q_min = 0.012669, q_max = 0.557498, delta_q = 0.000562839876033058
# offset = 0.00000000000000, scaling c = 1.45554220405024e-05, Chi = 4.69214617913934
#  q       exp_intensity   model_intensity
0.29811    2.64678000      2.89287434     
0.29868    2.73172000      2.92895688     
0.29924    2.79439000      2.96498243     
0.29980    2.74711000      3.00108168     
0.30036    2.78623000      3.03720130     
0.30093    2.76810000      3.07333199     
0.30149    2.74014000      3.10934329     
0.30205    2.81647000      3.14530543     
0.30262    2.76945000      3.18096920     
0.30318    2.78894000      3.21649266     
0.30374    2.82731000      3.25165501     
0.30430    2.84868000      3.28647896     
0.30487    2.89770000      3.32096372     
0.30543    2.93994000      3.35491081     
0.30599    2.94330000      3.38869322     
0.30656    2.96155000      3.42174935     
0.30712    3.04746000      3.45456307     
0.30768    3.04726000      3.48651078     
0.30824    3.03274000      3.51796929     
0.30881    3.02133000      3.54892316     
0.30937    3.08656000      3.57903796     
0.30993    3.12188000      3.60871848     
0.31050    3.15813000      3.63742006     
0.31106    3.19089000      3.66582525     
0.31162    3.10119000      3.69283544     
0.31218    3.18050000      3.71937540     
0.31275    3.24524000      3.74510044     
0.31331    3.22382000      3.76994839     
0.31387    3.29103000      3.79408556     
0.31444    3.27309000      3.81701755     
0.31500    3.32215000      3.83960199     
0.31556    3.33146000      3.86064290     
0.31612    3.35961000      3.88129334     
0.31669    3.33795000      3.90074382     
0.31725    3.37526000      3.91934347     
0.31781    3.30076000      3.93688540     
0.31838    3.34703000      3.95354915     
0.31894    3.41452000      3.96977958     
0.31950    3.44892000      3.98422699     
0.32006    3.37857000      3.99825625     
0.32063    3.40213000      4.01093045     
0.32119    3.40289000      4.02302273     
0.32175    3.33570000      4.03398152     
0.32232    3.44046000      4.04398125     
0.32288    3.46715000      4.05323664     
0.32344    3.47830000      4.06115918     
0.32400    3.56150000      4.06872337     
0.32457    3.54040000      4.07468185     
0.32513    3.55598000      4.08023809     
0.32569    3.57531000      4.08446768     
0.32626    3.62797000      4.08805862     
0.32682    3.64939000      4.09088403     
0.32738    3.64041000      4.09269486     
0.32794    3.55580000      4.09402252     
0.32851    3.59988000      4.09398670     
0.32907    3.56613000      4.09362669     
0.32963    3.56741000      4.09204312     
0.33020    3.57772000      4.09000857     
0.33076    3.55538000      4.08712140     
0.33132    3.61268000      4.08353152     
0.33188    3.56990000      4.07941563     
0.33245    3.59332000      4.07429817     
0.33301    3.54198000      4.06890265     
0.33357    3.53190000      4.06246778     
0.33414    3.57770000      4.05576358     
0.33470    3.56595000      4.04824958     
0.33526    3.58974000      4.04025838     
0.33582    3.54986000      4.03171888     
0.33639    3.53832000      4.02265823     
0.33695    3.49516000      4.01337901     
0.33751    3.50640000      4.00328157     
0.33808    3.53289000      3.99301581     
0.33864    3.46245000      3.98217226     
0.33920    3.52255000      3.97108326     
0.33976    3.48287000      3.95955559     
0.34033    3.53653000      3.94776203     
0.34089    3.56220000      3.93574131     
0.34145    3.60319000      3.92344436     
0.34202    3.51058000      3.91106542     
0.34258    3.54181000      3.89817650     
0.34314    3.51893000      3.88526599     
0.34370    3.54716000      3.87219938     
0.34427    3.53279000      3.85901944     
0.34483    3.57796000      3.84571382     
0.34539    3.53929000      3.83239302     
0.34596    3.58108000      3.81906563     
0.34652    3.49109000      3.80567933     
0.34708    3.43982000      3.79225181     
0.34764    3.45559000      3.77876255     
0.34821    3.47440000      3.76537625     
0.34877    3.48671000      3.75216705     
0.34933    3.53807000      3.73902680     
0.34990    3.45671000      3.72589474     
0.35046    3.45213000      3.71302258     
0.35102    3.37431000      3.70021997     
0.35158    3.33612000      3.68767469     
0.35215    3.35939000      3.67523968     
0.35271    3.43034000      3.66303377     
0.35327    3.35636000      3.65105751     
0.35384    3.33495000      3.63932699     
0.35440    3.34937000      3.62793140     
0.35496    3.40269000      3.61669468     
0.35552    3.35019000      3.60599294     
0.35609    3.37255000      3.59541728     
0.35665    3.39265000      3.58530555     
0.35721    3.37603000      3.57545151     
0.35777    3.46813000      3.56604090     
0.35834    3.38951000      3.55696398     
0.35890    3.45167000      3.54812209     
0.35946    3.35011000      3.53995269     
0.36002    3.35063000      3.53197116     
0.36059    3.34523000      3.52458563     
0.36115    3.34941000      3.51744944     
0.36171    3.38874000      3.51099368     
0.36228    3.36696000      3.50481223     
0.36284    3.34335000      3.49892454     
0.36340    3.35886000      3.49364762     
0.36396    3.30444000      3.48861955     
0.36453    3.31735000      3.48429701     
0.36509    3.26984000      3.48019822     
0.36565    3.26710000      3.47702308     
0.36622    3.35687000      3.47405602     
0.36678    3.37196000      3.47143234     
0.36734    3.34915000      3.46943038     
0.36790    3.35300000      3.46783308     
0.36847    3.33463000      3.46693382     
0.36903    3.35012000      3.46621166     
0.36959    3.42075000      3.46607585     
0.37016    3.38018000      3.46619903     
0.37072    3.43665000      3.46699658     
0.37128    3.35532000      3.46826711     
0.37184    3.29493000      3.47001096     
0.37241    3.35589000      3.47219277     
0.37297    3.35391000      3.47453830     
0.37353    3.39508000      3.47780086     
0.37410    3.38721000      3.48125047     
0.37466    3.38448000      3.48535951     
0.37522    3.43699000      3.48970365     
0.37578    3.52432000      3.49443305     
0.37635    3.47920000      3.49961012     
0.37691    3.49597000      3.50506801     
0.37747    3.47776000      3.51118503     
0.37803    3.51076000      3.51747997     
0.37860    3.45898000      3.52435927     
0.37916    3.48458000      3.53142469     
0.37972    3.39640000      3.53894558     
0.38028    3.44925000      3.54674854     
0.38085    3.38449000      3.55481363     
0.38141    3.42889000      3.56334152     
0.38197    3.44741000      3.57204059     
0.38254    3.52246000      3.58119422     
0.38310    3.55834000      3.59048107     
0.38366    3.50751000      3.60020890     
0.38422    3.59652000      3.61008654     
0.38479    3.55268000      3.62017132     
0.38535    3.56555000      3.63062355     
0.38591    3.48797000      3.64128850     
0.38648    3.56308000      3.65211185     
0.38704    3.58508000      3.66301421     
0.38760    3.62147000      3.67429261     
0.38816    3.67170000      3.68564873     
0.38873    3.66121000      3.69717345     
0.38929    3.74119000      3.70883226     
0.38985    3.70328000      3.72059876     
0.39042    3.72688000      3.73257067     
0.39098    3.71778000      3.74459445     
0.39154    3.69562000      3.75670388     
0.39210    3.80830000      3.76882836     
0.39267    3.83548000      3.78100782     
0.39323    3.86913000      3.79321590     
0.39379    3.89058000      3.80551947     
0.39435    3.84794000      3.81778165     
0.39492    3.88997000      3.83001939     
0.39548    3.86743000      3.84222100     
0.39604    3.92692000      3.85443550     
0.39660    3.96450000      3.86657146     
0.39717    3.96103000      3.87864725     
0.39773    3.97334000      3.89065301     
0.39829    3.98136000      3.90256676     
0.39886    3.93557000      3.91439571     
0.39942    3.89799000      3.92603362     
0.39998    3.85486000      3.93763355     
0.40054    3.86974000      3.94887856     
0.40111    3.89666000      3.96004663     
0.40167    3.89955000      3.97104237     
0.40223    3.99680000      3.98186212     
0.40280    4.05072000      3.99243076     
0.40336    3.97993000      4.00275240     
0.40392    3.96002000      4.01296110     
0.40448    3.93723000      4.02277368     
0.40504    3.99024000      4.03247376     
0.40561    4.01885000      4.04185076     
0.40617    4.06590000      4.05102244     
0.40673    4.10406000      4.05972339     
0.40730    4.05725000      4.06810452     
0.40786    4.05822000      4.07622654     
0.40842    4.02581000      4.08390941     
0.40898    4.04349000      4.09143214     
0.40955    3.95533000      4.09843176     
0.41011    4.06541000      4.10527544     
0.41067    4.05633000      4.11154149     
0.41124    4.06529000      4.11748631     
0.41180    4.03869000      4.12300939     
0.41236    4.12089000      4.12809467     
0.41292    4.22630000      4.13292634     
0.41349    4.21009000      4.13714044     
0.41405    4.22333000      4.14118828     
0.41461    4.23899000      4.14452687     
0.41517    4.21221000      4.14758181     
0.41574    4.20732000      4.14998924     
0.41630    4.28723000      4.15204047     
0.41686    4.29735000      4.15377628     
0.41742    4.29272000      4.15490413     
0.41799    4.35331000      4.15583353     
0.41855    4.34900000      4.15576724     
0.41911    4.31941000      4.15553920     
0.41968    4.34435000      4.15475399     
0.42024    4.27256000      4.15359054     
0.42080    4.24344000      4.15190721     
0.42136    4.19512000      4.14966117     
0.42193    4.24355000      4.14711196     
0.42249    4.16887000      4.14373040     
0.42305    4.16222000      4.14014575     
0.42361    4.15817000      4.13580416     
0.42418    4.13117000      4.13119470     
0.42474    4.12509000      4.12601782     
