# x and average y for the best solution found, chi=0.046679
#  q       exp_intensity   weighted_intensity
0.256270 3.625940 3.709777
0.256880 3.460660 3.688992
0.257490 3.825440 3.668583
0.258100 3.526450 3.648341
0.258710 3.746550 3.628483
0.259310 3.908450 3.609198
0.259920 4.015260 3.589829
0.260530 3.517170 3.570745
0.261140 3.598190 3.551843
0.261750 3.135530 3.533406
0.262350 3.216090 3.515444
0.262960 3.399430 3.497309
0.263570 3.283980 3.479738
0.264180 3.442840 3.462340
0.264790 3.334230 3.445263
0.265390 3.260590 3.428812
0.266000 3.315670 3.412277
0.266610 3.372590 3.396269
0.267220 3.109310 3.380444
0.267830 3.195780 3.364944
0.268430 3.164460 3.350046
0.269040 3.104740 3.335081
0.269650 3.309120 3.320718
0.270260 3.340430 3.306559
0.270870 3.437300 3.292675
0.271470 3.289540 3.279579
0.272080 3.296580 3.266493
0.272690 3.386760 3.253874
0.273300 3.558570 3.241480
0.273910 3.288200 3.229318
0.274510 3.433060 3.218010
0.275120 3.079570 3.206725
0.275730 3.426350 3.195831
0.276340 3.019380 3.185339
0.276950 3.037760 3.175167
0.277550 3.248030 3.165745
0.278160 3.272640 3.156390
0.278770 3.165780 3.147514
0.279380 3.335960 3.139042
0.279990 3.387380 3.130815
0.280590 2.969830 3.123289
0.281200 3.238320 3.115887
0.281810 3.136720 3.108976
0.282420 3.246360 3.102486
0.283030 3.272890 3.096217
0.283630 3.332440 3.090647
0.284240 3.258410 3.085278
0.284850 3.315860 3.080361
0.285460 3.125710 3.075826
0.286070 3.314190 3.071488
0.286670 3.547290 3.067775
0.287280 3.335750 3.064299
0.287890 3.279260 3.061177
0.288500 3.285730 3.058525
0.289110 3.281020 3.056081
0.289710 3.010210 3.054145
0.290320 2.835770 3.052496
0.290930 3.144800 3.051137
0.291540 2.890580 3.050221
0.292150 2.955050 3.049491
0.292750 2.894680 3.049165
0.293360 2.887960 3.049079
0.293970 3.114370 3.049163
0.294580 3.310960 3.049782
0.295190 3.053930 3.050541
0.295790 2.667120 3.051533
0.296400 2.972360 3.052829
0.297010 2.802860 3.054282
0.297620 2.939200 3.056110
0.298230 3.190020 3.058059
0.298830 3.260180 3.060173
0.299440 2.855230 3.062524
0.300050 2.829230 3.064977
0.300660 2.661290 3.067694
0.301270 2.524640 3.070519
0.301870 2.738830 3.073430
0.302480 2.951440 3.076577
0.303090 2.818430 3.079794
0.303700 2.898020 3.083117
0.304310 3.109620 3.086488
0.304910 2.878030 3.089850
0.305520 2.969200 3.093339
0.306130 3.039210 3.096869
0.306740 2.957210 3.100506
0.307350 3.155140 3.104139
0.307950 3.251590 3.107711
0.308560 3.212980 3.111350
0.309170 3.439610 3.114962
0.309780 3.166580 3.118506
0.310390 3.093510 3.122027
0.310990 3.095160 3.125477
0.311600 3.124230 3.128879
0.312210 3.104350 3.132237
0.312820 3.155040 3.135518
0.313430 3.017710 3.138738
0.314030 2.909930 3.141867
0.314640 2.753350 3.144800
0.315250 2.797110 3.147670
0.315860 2.861700 3.150449
0.316470 2.808260 3.153069
0.317070 3.124280 3.155564
0.317680 3.124620 3.157829
0.318290 3.546090 3.160073
0.318900 3.192330 3.162293
0.319510 3.175180 3.164177
0.320110 3.202440 3.165925
0.320720 2.861550 3.167525
0.321330 3.210660 3.168982
0.321940 3.251230 3.170317
0.322550 3.171400 3.171392
0.323150 3.297710 3.172353
0.323760 3.018960 3.173124
0.324370 3.313330 3.173775
0.324980 3.026660 3.174350
0.325590 3.141410 3.174574
0.326190 2.808450 3.174723
0.326800 3.399420 3.174741
0.327410 2.649420 3.174597
