# x and average y for the best solution found, chi=0.174993
#  q       exp_intensity   weighted_intensity
0.199750 0.274284 0.246640
0.200350 0.309010 0.244842
0.200960 0.270008 0.243073
0.201570 0.253330 0.241425
0.202180 0.257193 0.239820
0.202790 0.250096 0.238294
0.203390 0.247605 0.236858
0.204000 0.187325 0.235432
0.204610 0.208564 0.234103
0.205220 0.245623 0.232804
0.205830 0.200471 0.231559
0.206430 0.263447 0.230387
0.207040 0.210028 0.229221
0.207650 0.194783 0.228107
0.208260 0.171958 0.227021
0.208870 0.214006 0.225972
0.209470 0.227886 0.224963
0.210080 0.209703 0.223949
0.210690 0.253044 0.222969
0.211300 0.282719 0.222001
0.211910 0.255648 0.221046
0.212510 0.257552 0.220114
0.213120 0.210053 0.219169
0.213730 0.263148 0.218229
0.214340 0.193225 0.217291
0.214950 0.236214 0.216354
0.215550 0.212826 0.215417
0.216160 0.220770 0.214459
0.216770 0.260360 0.213488
0.217380 0.248697 0.212508
0.217990 0.266432 0.211521
0.218590 0.323104 0.210512
0.219200 0.242672 0.209475
0.219810 0.277027 0.208415
0.220420 0.236412 0.207331
0.221020 0.213848 0.206251
0.221630 0.230853 0.205114
0.222240 0.160788 0.203956
0.222850 0.203965 0.202767
0.223460 0.186965 0.201541
0.224060 0.233004 0.200320
0.224670 0.239510 0.199044
0.225280 0.213796 0.197739
0.225890 0.276007 0.196400
0.226500 0.201646 0.195023
0.227110 0.237983 0.193627
0.227710 0.268231 0.192211
0.228320 0.209756 0.190744
0.228930 0.196062 0.189253
0.229540 0.210203 0.187722
0.230140 0.171430 0.186200
0.230750 0.136184 0.184611
0.231360 0.160933 0.182998
0.231970 0.142198 0.181369
0.232580 0.214794 0.179699
0.233190 0.207227 0.178016
0.233790 0.192925 0.176337
0.234400 0.186100 0.174604
0.235010 0.152177 0.172856
0.235620 0.198042 0.171081
0.236220 0.155575 0.169326
0.236830 0.189477 0.167522
0.237440 0.154075 0.165706
0.238050 0.132280 0.163884
0.238660 0.177393 0.162041
0.239270 0.189366 0.160195
0.239870 0.178867 0.158374
0.240480 0.221502 0.156521
0.241090 0.163266 0.154667
0.241700 0.161175 0.152810
0.242300 0.173035 0.150985
0.242910 0.124994 0.149130
0.243520 0.180180 0.147285
0.244130 0.134055 0.145443
0.244740 0.160591 0.143608
0.245340 0.157622 0.141815
0.245950 0.152513 0.140001
0.246560 0.125482 0.138209
0.247170 0.123020 0.136427
0.247780 0.126754 0.134664
0.248380 0.117808 0.132950
0.248990 0.136560 0.131220
0.249600 0.129436 0.129521
0.250210 0.085044 0.127836
0.250820 0.121070 0.126174
0.251420 0.078669 0.124571
0.252030 0.092939 0.122958
0.252640 0.164846 0.121382
0.253250 0.095684 0.119826
0.253860 0.123062 0.118299
0.254460 0.136913 0.116832
0.255070 0.169477 0.115358
0.255680 0.126413 0.113927
0.256290 0.128316 0.112521
0.256890 0.105545 0.111165
0.257500 0.154391 0.109831
0.258110 0.131251 0.108515
0.258720 0.129491 0.107242
0.259330 0.137704 0.105998
0.259940 0.077416 0.104779
0.260540 0.159393 0.103624
0.261150 0.096676 0.102468
0.261760 0.087006 0.101358
0.262370 0.135627 0.100274
0.262980 0.084057 0.099207
0.263580 0.106013 0.098211
0.264190 0.111851 0.097217
0.264800 0.088018 0.096257
0.265410 0.122219 0.095328
0.266010 0.136693 0.094430
0.266620 0.134604 0.093566
0.267230 0.104556 0.092720
0.267840 0.129838 0.091903
0.268450 0.105255 0.091118
0.269050 0.097280 0.090361
0.269660 0.040667 0.089632
0.270270 0.094516 0.088919
0.270880 0.063145 0.088227
0.271490 0.124248 0.087572
0.272090 0.076297 0.086942
0.272700 0.063062 0.086330
0.273310 0.073800 0.085732
