# SAXS profile: number of points = 511, q_min = 0.01125, q_max = 0.32133, delta_q = 0.000608
# offset = 0.00000000000000, scaling c = 3.84974692154268e-07, Chi = 0.120577454015218
#  q       exp_intensity   model_intensity
0.08787    4.83161000      4.78432245     
0.08847    4.64387000      4.67718744     
0.08908    4.47803000      4.57022310     
0.08969    4.37921000      4.46778677     
0.09030    4.29287000      4.36794618     
0.09091    4.32426000      4.27078792     
0.09151    4.23759000      4.17949089     
0.09212    4.11228000      4.08841192     
0.09273    4.03449000      4.00130958     
0.09334    3.92149000      3.91685291     
0.09395    3.80593000      3.83449729     
0.09456    3.77355000      3.75634929     
0.09516    3.75974000      3.68100582     
0.09577    3.68691000      3.60763276     
0.09638    3.60535000      3.53687891     
0.09699    3.53554000      3.46771043     
0.09760    3.39597000      3.40248370     
0.09820    3.32978000      3.33964012     
0.09881    3.29180000      3.27828932     
0.09942    3.20621000      3.21940376     
0.10003    3.12711000      3.16180782     
0.10064    3.15316000      3.10758298     
0.10124    3.07195000      3.05543130     
0.10185    3.04388000      3.00421647     
0.10246    2.98289000      2.95521986     
0.10307    2.94780000      2.90726081     
0.10368    2.88347000      2.86172572     
0.10429    2.77280000      2.81739701     
0.10489    2.77345000      2.77510437     
0.10550    2.71215000      2.73397096     
0.10611    2.61878000      2.69362902     
0.10672    2.65947000      2.65502051     
0.10733    2.60547000      2.61743171     
0.10793    2.66094000      2.58131018     
0.10854    2.60445000      2.54608378     
0.10915    2.58156000      2.51142156     
0.10976    2.53623000      2.47789432     
0.11037    2.50765000      2.44525075     
0.11097    2.49425000      2.41370614     
0.11158    2.40189000      2.38259612     
0.11219    2.38737000      2.35184554     
0.11280    2.35620000      2.32177974     
0.11341    2.28803000      2.29229000     
0.11401    2.27122000      2.26357158     
0.11462    2.24029000      2.23506411     
0.11523    2.21316000      2.20677946     
0.11584    2.13701000      2.17886295     
0.11645    2.14216000      2.15130887     
0.11705    2.16151000      2.12436311     
0.11766    2.10159000      2.09730218     
0.11827    2.06508000      2.07037940     
0.11888    2.02943000      2.04363058     
0.11949    1.98706000      2.01706559     
0.12009    1.98993000      1.99102487     
0.12070    1.93492000      1.96480656     
0.12131    1.88770000      1.93859553     
0.12192    1.89388000      1.91239153     
0.12253    1.89549000      1.88627855     
0.12313    1.86342000      1.86062294     
0.12374    1.85565000      1.83459773     
0.12435    1.80216000      1.80861242     
0.12496    1.82084000      1.78265677     
0.12557    1.74271000      1.75677485     
0.12618    1.70702000      1.73091609     
0.12678    1.73275000      1.70552351     
0.12739    1.70769000      1.67975961     
0.12800    1.70282000      1.65402498     
0.12861    1.67011000      1.62840207     
0.12921    1.59250000      1.60327225     
0.12982    1.55069000      1.57786150     
0.13043    1.55010000      1.55249316     
0.13104    1.56393000      1.52715479     
0.13165    1.54761000      1.50199055     
0.13226    1.54442000      1.47692258     
0.13286    1.53452000      1.45239301     
0.13347    1.46342000      1.42765011     
0.13408    1.43345000      1.40300357     
0.13469    1.38146000      1.37860959     
0.13529    1.35760000      1.35477020     
0.13590    1.31092000      1.33070159     
0.13651    1.31095000      1.30693198     
0.13712    1.28736000      1.28331180     
0.13773    1.28771000      1.26006241     
0.13834    1.24094000      1.23701267     
0.13894    1.24471000      1.21449675     
0.13955    1.23677000      1.19201128     
0.14016    1.21745000      1.16969614     
0.14077    1.20669000      1.14773557     
0.14138    1.17469000      1.12608598     
0.14198    1.14294000      1.10497645     
0.14259    1.14621000      1.08401937     
0.14320    1.11110000      1.06325407     
0.14381    1.02716000      1.04284686     
0.14442    1.00874000      1.02282175     
0.14502    0.96570900      1.00331527     
0.14563    0.96880900      0.98408300     
0.14624    0.92420800      0.96504872     
0.14685    0.92847700      0.94631967     
0.14746    0.93140900      0.92802286     
0.14806    0.93009300      0.91021996     
0.14867    0.90384000      0.89262639     
0.14928    0.91629000      0.87529549     
0.14989    0.87663000      0.85827418     
0.15050    0.83697400      0.84171302     
0.15110    0.80801300      0.82561557     
0.15171    0.75911400      0.80972069     
0.15232    0.73997700      0.79413045     
0.15293    0.74999200      0.77881630     
0.15354    0.75648700      0.76393947     
0.15415    0.77172600      0.74924781     
0.15475    0.78723300      0.73518454     
0.15536    0.71971900      0.72118831     
0.15597    0.71592200      0.70740140     
0.15658    0.69977400      0.69409318     
0.15718    0.67285600      0.68116779     
0.15779    0.68400300      0.66835984     
0.15840    0.62248900      0.65586129     
0.15901    0.63705300      0.64353266     
0.15962    0.59572200      0.63165233     
0.16023    0.54131500      0.61995235     
0.16083    0.55054400      0.60873724     
0.16144    0.57531300      0.59761356     
0.16205    0.61315600      0.58663078     
0.16266    0.59198600      0.57602138     
0.16326    0.58583900      0.56575888     
0.16387    0.54950000      0.55555531     
0.16448    0.52178100      0.54565111     
0.16509    0.52512900      0.53588401     
0.16570    0.55932900      0.52644064     
0.16631    0.54726200      0.51719160     
0.16691    0.52407400      0.50827919     
0.16752    0.50929600      0.49949042     
0.16813    0.47948500      0.49082294     
0.16874    0.45734300      0.48242941     
0.16934    0.42402300      0.47435514     
0.16995    0.42123800      0.46628753     
0.17056    0.45545200      0.45851515     
0.17117    0.42446000      0.45085691     
0.17178    0.45376000      0.44342587     
0.17239    0.43215200      0.43618972     
0.17299    0.42863600      0.42918035     
0.17360    0.42792800      0.42237478     
0.17421    0.40711500      0.41566547     
0.17482    0.37335200      0.40912931     
0.17542    0.40617000      0.40289112     
0.17603    0.35098100      0.39664606     
0.17664    0.37432700      0.39067084     
0.17725    0.40557000      0.38480377     
0.17786    0.38441800      0.37909245     
0.17847    0.34971500      0.37359008     
0.17907    0.32335800      0.36827049     
0.17968    0.28960000      0.36310371     
0.18029    0.28926600      0.35805070     
0.18090    0.29816600      0.35312322     
0.18151    0.32630000      0.34838415     
0.18211    0.33595200      0.34380337     
0.18272    0.34717500      0.33934670     
0.18333    0.38165200      0.33501197     
0.18394    0.33129900      0.33078072     
0.18455    0.35898900      0.32675039     
0.18515    0.33470000      0.32286387     
0.18576    0.30801800      0.31908396     
0.18637    0.32312200      0.31541941     
0.18698    0.29629200      0.31182970     
0.18759    0.26689200      0.30842506     
0.18819    0.26436500      0.30514350     
0.18880    0.24657500      0.30194127     
0.18941    0.22330400      0.29885209     
0.19002    0.25349200      0.29582424     
0.19063    0.24209200      0.29297890     
0.19123    0.24603100      0.29024074     
0.19184    0.24321000      0.28755595     
0.19245    0.24847900      0.28498147     
0.19306    0.23376500      0.28245920     
0.19367    0.22169400      0.28005603     
0.19427    0.24331200      0.27775416     
0.19488    0.25537000      0.27549086     
0.19549    0.28053800      0.27332708     
0.19610    0.26435100      0.27120709     
0.19671    0.27501500      0.26918613     
0.19731    0.30419800      0.26725663     
0.19792    0.29424200      0.26535045     
0.19853    0.29326900      0.26352468     
0.19914    0.26954600      0.26172975     
0.19975    0.26165400      0.25999762     
0.20035    0.30028400      0.25834239     
0.20096    0.25516600      0.25669480     
0.20157    0.28139500      0.25511437     
0.20218    0.23547600      0.25355901     
0.20279    0.25632900      0.25205223     
0.20339    0.22430100      0.25061130     
0.20400    0.24035500      0.24916888     
0.20461    0.21792200      0.24776577     
0.20522    0.23012200      0.24637578     
0.20583    0.25253400      0.24500907     
0.20643    0.23453500      0.24369528     
0.20704    0.27504300      0.24237332     
0.20765    0.26562000      0.24107219     
0.20826    0.24266000      0.23979083     
0.20887    0.23163100      0.23853611     
0.20947    0.26130800      0.23729641     
0.21008    0.25872100      0.23603679     
0.21069    0.24707300      0.23479242     
0.21130    0.25873800      0.23355014     
0.21191    0.27246500      0.23231000     
0.21251    0.29887800      0.23109078     
0.21312    0.24382000      0.22985307     
0.21373    0.21758900      0.22862240     
0.21434    0.23675000      0.22738495     
0.21495    0.22365200      0.22614213     
0.21555    0.21797400      0.22490400     
0.21616    0.22572900      0.22364011     
0.21677    0.20644300      0.22236586     
0.21738    0.21422700      0.22108266     
0.21799    0.20260200      0.21979405     
0.21859    0.23893700      0.21851134     
0.21920    0.22621200      0.21719666     
0.21981    0.24485500      0.21586084     
0.22042    0.26397300      0.21450923     
0.22102    0.22758600      0.21317194     
0.22163    0.21303000      0.21178855     
0.22224    0.20326500      0.21039186     
0.22285    0.18070200      0.20897467     
0.22346    0.19306600      0.20754206     
0.22406    0.18428400      0.20612477     
0.22467    0.21057900      0.20465439     
0.22528    0.20972100      0.20316681     
0.22589    0.19631900      0.20165896     
0.22650    0.18866600      0.20013025     
0.22711    0.17544100      0.19859101     
0.22771    0.20737800      0.19705043     
0.22832    0.21157900      0.19547204     
0.22893    0.22846700      0.19388265     
0.22954    0.23373700      0.19226557     
0.23014    0.23547400      0.19066385     
0.23075    0.24501000      0.18900994     
0.23136    0.21211200      0.18734277     
0.23197    0.18057700      0.18566639     
0.23258    0.15207700      0.18396742     
0.23319    0.18228500      0.18226310     
0.23379    0.17241700      0.18057763     
0.23440    0.19907400      0.17884502     
0.23501    0.16681600      0.17710223     
0.23562    0.17381900      0.17534843     
0.23622    0.15475400      0.17361781     
0.23683    0.16528000      0.17184854     
0.23744    0.17993200      0.17007666     
0.23805    0.18128000      0.16830340     
0.23866    0.19187000      0.16652623     
0.23927    0.17171800      0.16474715     
0.23987    0.17506100      0.16299489     
0.24048    0.16191600      0.16121915     
0.24109    0.15747700      0.15944576     
0.24170    0.15922000      0.15767698     
0.24230    0.14974100      0.15594523     
0.24291    0.16928500      0.15419276     
0.24352    0.13165400      0.15245000     
0.24413    0.15197000      0.15071240     
0.24474    0.16056200      0.14898767     
0.24534    0.15105300      0.14730610     
0.24595    0.12122600      0.14560809     
0.24656    0.15555200      0.14393687     
0.24717    0.13771000      0.14227863     
0.24778    0.14393300      0.14064776     
0.24838    0.13543300      0.13906145     
0.24899    0.17966500      0.13745918     
0.24960    0.15096200      0.13589683     
0.25021    0.16205600      0.13434849     
0.25082    0.13097100      0.13282561     
0.25142    0.15711700      0.13136703     
0.25203    0.14649900      0.12990313     
