# SAXS profile: number of points = 511, q_min = 0.012467, q_max = 0.322547, delta_q = 0.000608
# offset = 0.00000000000000, scaling c = 2.98047634363967e-05, Chi = 3.86900289052320
#  q       exp_intensity   model_intensity
0.29458    1.51287000      1.76047550     
0.29519    1.52307000      1.75988380     
0.29579    1.60252000      1.75936283     
0.29640    1.48526000      1.75894988     
0.29701    1.57176000      1.75859547     
0.29762    1.53097000      1.75843645     
0.29823    1.48170000      1.75834008     
0.29884    1.51101000      1.75834887     
0.29944    1.37392000      1.75849675     
0.30005    1.54561000      1.75871148     
0.30066    1.42814000      1.75909051     
0.30127    1.37917000      1.75956314     
0.30188    1.42925000      1.76015530     
0.30248    1.46277000      1.76092177     
0.30309    1.37132000      1.76176240     
0.30370    1.47931000      1.76276805     
0.30431    1.57432000      1.76387726     
0.30491    1.44774000      1.76508800     
0.30552    1.47597000      1.76647854     
0.30613    1.37500000      1.76795085     
0.30674    1.40551000      1.76961447     
0.30735    1.50645000      1.77138240     
0.30795    1.44085000      1.77322879     
0.30856    1.46136000      1.77529281     
0.30917    1.45727000      1.77742177     
0.30978    1.49560000      1.77967225     
0.31039    1.46536000      1.78208466     
0.31100    1.34854000      1.78458954     
0.31160    1.39704000      1.78724060     
0.31221    1.42322000      1.78997396     
0.31282    1.43536000      1.79285988     
0.31343    1.55103000      1.79586545     
0.31404    1.40078000      1.79893153     
0.31464    1.27295000      1.80215785     
0.31525    1.32773000      1.80546500     
0.31586    1.28010000      1.80888712     
0.31647    1.19822000      1.81243852     
0.31707    1.30506000      1.81604893     
0.31768    1.15976000      1.81980121     
0.31829    1.45437000      1.82363921     
0.31890    1.30713000      1.82757060     
0.31951    1.14897000      1.83156427     
0.32011    1.05015000      1.83559634     
0.32072    1.52998000      1.83973982     
0.32133    1.22194000      1.84395298     
0.32194    1.61358000      1.84822447     
0.32255    1.45204000      1.85256480     
