      S          J EXP       ERROR       J REG       I REG

  0.3249E+00  0.7882E-02  0.1282E-02  0.7646E-02  0.7646E-02
  0.3263E+00  0.9011E-02  0.1271E-02  0.7603E-02  0.7603E-02
  0.3278E+00  0.8886E-02  0.1266E-02  0.7559E-02  0.7559E-02
  0.3292E+00  0.8194E-02  0.1261E-02  0.7515E-02  0.7515E-02
  0.3306E+00  0.7566E-02  0.1245E-02  0.7470E-02  0.7470E-02
  0.3320E+00  0.6453E-02  0.1232E-02  0.7425E-02  0.7425E-02
  0.3335E+00  0.9678E-02  0.1264E-02  0.7381E-02  0.7381E-02
  0.3349E+00  0.7358E-02  0.1276E-02  0.7336E-02  0.7336E-02
  0.3363E+00  0.6447E-02  0.1198E-02  0.7293E-02  0.7293E-02
  0.3378E+00  0.7708E-02  0.1162E-02  0.7250E-02  0.7250E-02
  0.3392E+00  0.6203E-02  0.1166E-02  0.7208E-02  0.7208E-02
  0.3406E+00  0.5366E-02  0.1171E-02  0.7167E-02  0.7167E-02
  0.3420E+00  0.6463E-02  0.1193E-02  0.7127E-02  0.7127E-02
  0.3435E+00  0.5891E-02  0.1224E-02  0.7088E-02  0.7088E-02
  0.3449E+00  0.7279E-02  0.1204E-02  0.7050E-02  0.7050E-02
  0.3463E+00  0.6511E-02  0.1207E-02  0.7014E-02  0.7014E-02
  0.3477E+00  0.5623E-02  0.1215E-02  0.6979E-02  0.6979E-02
  0.3492E+00  0.5955E-02  0.1214E-02  0.6946E-02  0.6946E-02
  0.3506E+00  0.8502E-02  0.1211E-02  0.6914E-02  0.6914E-02
  0.3520E+00  0.7138E-02  0.1224E-02  0.6884E-02  0.6884E-02
  0.3535E+00  0.5865E-02  0.1228E-02  0.6854E-02  0.6854E-02
  0.3549E+00  0.6705E-02  0.1251E-02  0.6826E-02  0.6826E-02
  0.3563E+00  0.6934E-02  0.1235E-02  0.6799E-02  0.6799E-02
  0.3577E+00  0.7133E-02  0.1228E-02  0.6774E-02  0.6774E-02
  0.3592E+00  0.6784E-02  0.1266E-02  0.6749E-02  0.6749E-02
  0.3606E+00  0.6838E-02  0.1223E-02  0.6726E-02  0.6726E-02
  0.3620E+00  0.6196E-02  0.1241E-02  0.6703E-02  0.6703E-02
  0.3635E+00  0.4703E-02  0.1213E-02  0.6681E-02  0.6681E-02
  0.3649E+00  0.5161E-02  0.1222E-02  0.6659E-02  0.6659E-02
  0.3663E+00  0.7360E-02  0.1282E-02  0.6638E-02  0.6638E-02
  0.3677E+00  0.6990E-02  0.1287E-02  0.6617E-02  0.6617E-02
  0.3692E+00  0.8321E-02  0.1230E-02  0.6596E-02  0.6596E-02
  0.3706E+00  0.7095E-02  0.1242E-02  0.6576E-02  0.6576E-02
  0.3720E+00  0.8386E-02  0.1249E-02  0.6555E-02  0.6555E-02
