# x and average y for the best solution found, chi=0.035605
#  q       exp_intensity   weighted_intensity
0.223470 0.844434 0.813688
0.224080 0.860466 0.806301
0.224690 0.816169 0.799233
0.225300 0.817478 0.792308
0.225910 0.809928 0.785531
0.226510 0.775480 0.779175
0.227120 0.781018 0.772824
0.227730 0.814940 0.766699
0.228340 0.756791 0.760753
0.228950 0.786264 0.754947
0.229560 0.733937 0.749398
0.230160 0.773883 0.744038
0.230770 0.719416 0.738801
0.231380 0.740993 0.733730
0.231990 0.713791 0.728759
0.232590 0.760559 0.724091
0.233200 0.734389 0.719436
0.233810 0.747478 0.714959
0.234420 0.739991 0.710613
0.235030 0.701255 0.706339
0.235640 0.697584 0.702306
0.236240 0.640668 0.698415
0.236850 0.708286 0.694574
0.237460 0.683415 0.690862
0.238070 0.660801 0.687214
0.238670 0.689185 0.683804
0.239280 0.695094 0.680408
0.239890 0.639233 0.677097
0.240500 0.644749 0.673946
0.241110 0.641239 0.670858
0.241720 0.679114 0.667888
0.242320 0.655288 0.665030
0.242930 0.646679 0.662180
0.243540 0.654864 0.659470
0.244150 0.616737 0.656808
0.244760 0.672246 0.654237
0.245360 0.652519 0.651770
0.245970 0.645939 0.649303
0.246580 0.636741 0.646966
0.247190 0.639229 0.644663
0.247790 0.630092 0.642456
0.248400 0.626602 0.640286
0.249010 0.595240 0.638156
0.249620 0.669613 0.636124
0.250230 0.657922 0.634115
0.250830 0.711282 0.632177
0.251440 0.624714 0.630291
0.252050 0.629734 0.628443
0.252660 0.668638 0.626655
0.253270 0.632172 0.624896
0.253880 0.675661 0.623171
0.254480 0.603159 0.621541
0.255090 0.585354 0.619911
0.255700 0.571773 0.618339
0.256310 0.601565 0.616788
0.256920 0.633717 0.615258
0.257520 0.600408 0.613824
0.258130 0.609540 0.612388
0.258740 0.553187 0.610995
0.259350 0.582662 0.609624
0.259950 0.579978 0.608292
0.260560 0.578059 0.606990
0.261170 0.567470 0.605711
0.261780 0.578116 0.604477
0.262390 0.559965 0.603246
0.262990 0.601639 0.602036
0.263600 0.602496 0.600884
0.264210 0.604599 0.599748
0.264820 0.588965 0.598638
0.265430 0.565622 0.597543
0.266040 0.557416 0.596459
0.266640 0.554494 0.595446
0.267250 0.605690 0.594430
0.267860 0.543142 0.593437
0.268470 0.549865 0.592454
0.269080 0.570249 0.591481
0.269680 0.568149 0.590571
0.270290 0.566674 0.589656
0.270900 0.606123 0.588752
0.271510 0.602987 0.587878
0.272110 0.596134 0.587030
0.272720 0.596441 0.586194
0.273330 0.576613 0.585363
0.273940 0.541814 0.584537
0.274550 0.556116 0.583746
0.275150 0.563557 0.582975
0.275760 0.503742 0.582207
0.276370 0.553960 0.581463
0.276980 0.581317 0.580733
0.277590 0.551372 0.580025
0.278190 0.599641 0.579331
0.278800 0.585559 0.578631
0.279410 0.545939 0.577959
0.280020 0.563669 0.577300
0.280630 0.588553 0.576660
0.281230 0.618148 0.576037
0.281840 0.558404 0.575416
0.282450 0.598401 0.574815
0.283060 0.550220 0.574224
0.283670 0.574228 0.573654
0.284270 0.603952 0.573107
0.284880 0.597523 0.572568
0.285490 0.582227 0.572027
0.286100 0.574526 0.571492
0.286710 0.602008 0.570994
0.287310 0.574382 0.570518
0.287920 0.562961 0.570046
0.288530 0.532139 0.569590
0.289140 0.569416 0.569144
0.289740 0.544407 0.568728
0.290350 0.559037 0.568324
0.290960 0.607714 0.567933
0.291570 0.592308 0.567571
0.292180 0.572854 0.567216
0.292790 0.595517 0.566872
0.293390 0.552551 0.566554
0.294000 0.609089 0.566242
0.294610 0.563551 0.565975
0.295220 0.570385 0.565716
0.295830 0.571983 0.565470
0.296430 0.593221 0.565246
0.297040 0.577832 0.565027
0.297650 0.581645 0.564853
0.298260 0.574055 0.564695
0.298860 0.567244 0.564560
0.299470 0.599664 0.564443
0.300080 0.590445 0.564338
0.300690 0.582927 0.564270
0.301300 0.564691 0.564214
0.301900 0.579424 0.564171
0.302510 0.595539 0.564170
0.303120 0.575583 0.564184
0.303730 0.597285 0.564228
0.304340 0.609741 0.564289
0.304940 0.629600 0.564363
0.305550 0.574225 0.564464
0.306160 0.614257 0.564582
0.306770 0.562860 0.564743
0.307380 0.553373 0.564917
0.307980 0.587664 0.565095
0.308590 0.569876 0.565325
0.309200 0.552902 0.565565
0.309810 0.538407 0.565826
0.310410 0.604725 0.566105
0.311020 0.540816 0.566401
0.311630 0.584744 0.566731
0.312240 0.531931 0.567075
0.312850 0.565544 0.567444
0.313450 0.549647 0.567827
0.314060 0.520073 0.568227
0.314670 0.581001 0.568651
0.315280 0.590759 0.569084
0.315890 0.586860 0.569528
0.316500 0.585501 0.570005
0.317100 0.574253 0.570482
0.317710 0.587148 0.570976
