# SAXS profile: number of points = 511, q_min = 0.012467, q_max = 0.322547, delta_q = 0.000608
# offset = 0.00000000000000, scaling c = 4.11617164374988e-05, Chi = 4.48958827903763
#  q       exp_intensity   model_intensity
0.21189    1.79584000      1.73333392     
0.21250    1.68973000      1.71190747     
0.21311    1.82095000      1.69115565     
0.21371    1.84288000      1.67212658     
0.21432    1.78906000      1.65409762     
0.21493    1.80669000      1.63695116     
0.21554    1.81411000      1.62135213     
0.21615    1.77396000      1.60637117     
0.21676    1.83240000      1.59270731     
0.21736    1.72458000      1.58002502     
0.21797    1.75085000      1.56800525     
0.21858    1.47144000      1.55762816     
0.21919    1.76072000      1.54783620     
0.21979    1.50238000      1.53917637     
0.22040    1.77762000      1.53157072     
0.22101    1.66299000      1.52452798     
0.22162    1.72054000      1.51893080     
0.22223    1.76737000      1.51382127     
0.22284    1.77275000      1.50953028     
0.22344    1.59291000      1.50630362     
0.22405    1.52657000      1.50359001     
0.22466    1.63742000      1.50214996     
0.22527    1.66026000      1.50120823     
0.22587    1.60968000      1.50090298     
0.22648    1.62823000      1.50157663     
0.22709    1.60000000      1.50266714     
0.22770    1.57723000      1.50468663     
0.22831    1.47252000      1.50716318     
0.22892    1.43978000      1.51008789     
0.22952    1.46836000      1.51397468     
0.23013    1.40404000      1.51820207     
0.23074    1.55166000      1.52310032     
0.23135    1.41856000      1.52846899     
0.23195    1.53430000      1.53419152     
0.23256    1.59587000      1.54061097     
0.23317    1.57184000      1.54728441     
0.23378    1.44680000      1.55446459     
0.23439    1.68178000      1.56198479     
0.23500    1.45214000      1.56969919     
0.23560    1.44392000      1.57798575     
0.23621    1.59387000      1.58644483     
0.23682    1.64692000      1.59521957     
0.23743    1.67201000      1.60431831     
0.23803    1.62215000      1.61357153     
0.23864    1.52893000      1.62310547     
0.23925    1.66038000      1.63276562     
0.23986    1.68848000      1.64260532     
0.24047    1.73907000      1.65266460     
0.24108    1.55723000      1.66280792     
0.24168    1.79232000      1.67307736     
0.24229    1.57389000      1.68338382     
0.24290    1.66622000      1.69373063     
0.24351    1.90303000      1.70410087     
0.24411    1.66759000      1.71448298     
0.24472    1.67780000      1.72489599     
0.24533    1.73291000      1.73529471     
0.24594    1.81254000      1.74568148     
0.24655    1.79462000      1.75599082     
0.24716    1.81110000      1.76626147     
0.24776    1.85127000      1.77644429     
0.24837    1.72764000      1.78648011     
0.24898    1.80397000      1.79642203     
0.24959    1.75163000      1.80618884     
0.25020    1.69751000      1.81585555     
0.25080    1.84738000      1.82532350     
0.25141    1.84189000      1.83464063     
